학교ID,학교명,iso_library_count,iso_public_library_count,nearest_library_name,nearest_library_euclid_m,장서수,좌석수,사서교사수,사서직원수,사서합계,학생수,인당장서수,좌석당학생수,matched,기준일,external_shortage,internal_shortage,demand_high,reading_gap_type,reading_gap_reason
B000003024,인천갈월초등학교,0,0,갈산밀알도서관,74,21529,60,1,0,1,474,45.4,7.9,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003057,인천청량초등학교,0,0,연수꿈담도서관,44,39645,35,0,0,0,450,88.1,12.9,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000025246,인천미송초등학교,0,0,송도국제도서관,575,15794,90,0,0,0,1554,10.2,17.3,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000026469,인천한별초등학교,0,0,으뜸골 작은도서관,502,16059,140,0,0,0,1599,10.0,11.4,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000026466,인천아라초등학교,0,0,검단LH13단지 아라작은도서관,188,5373,55,0,0,0,1154,4.7,21.0,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003178,갑룡초등학교,0,0,강화도서관,1903,13005,36,1,0,1,485,26.8,13.5,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003098,인천논곡초등학교,0,0,남동논현도서관,1715,27716,30,1,0,1,551,50.3,18.4,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000002959,인천영종초등학교,0,0,코너스톤작은도서관,364,26423,60,0,0,0,1251,21.1,20.9,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000025228,인천예송초등학교,0,0,송도국제도서관,770,17883,33,0,0,0,1185,15.1,35.9,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003150,인천건지초등학교,4,3,가재울꿈어린이도서관,124,24600,45,0,0,0,209,117.7,4.6,1,2025,False,True,False,public_link,"도보500m 내 공공도서관 확보·사서 미배치 → 내부만 부족, 인근 공공도서관 연계로 보완"
B000025202,인천장아초등학교,0,0,서창도서관,1470,15720,40,0,1,1,896,17.5,22.4,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003013,인천영선초등학교,1,0,홀리스디어린이도서관,82,21572,48,0,1,1,612,35.2,12.8,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003127,인천부현동초등학교,0,0,작전도서관,296,27673,69,0,1,1,430,64.4,6.2,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003012,인천후정초등학교,0,0,삼산도서관,120,14597,70,0,1,1,297,49.1,4.2,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003007,인천부곡초등학교,0,0,지혜로작은도서관,394,28552,24,1,1,2,912,31.3,38.0,1,2025,True,False,True,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000027505,인천중산초등학교,0,0,오션하임 작은도서관,117,20324,65,1,0,1,1582,12.8,24.3,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000024924,인천하늘초등학교,0,0,은하수도서관,152,22592,56,0,0,0,1305,17.3,23.3,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003137,인천간재울초등학교,0,0,사랑의 작은도서관 북카페,468,19412,31,1,0,1,996,19.5,32.1,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
